,sales,date,region
6581,162300,2018-09-29,south
6582,170100,2018-09-29,east
6583,159600,2018-09-29,west
6608,174600,2018-09-30,north
6609,153600,2018-09-30,south
6610,165900,2018-09-30,east
6611,152400,2018-09-30,west
6636,178200,2018-10-01,north
6637,163200,2018-10-01,south
6638,175500,2018-10-01,east
6639,165000,2018-10-01,west
6664,168000,2018-10-02,north
6665,170100,2018-10-02,south
6666,180000,2018-10-02,east
6667,174000,2018-10-02,west
6692,156300,2018-10-03,north
6693,178800,2018-10-03,south
6694,153600,2018-10-03,east
6695,176400,2018-10-03,west
6720,151200,2018-10-04,north
6721,156000,2018-10-04,south
6722,162600,2018-10-04,east
6723,179700,2018-10-04,west
6748,177900,2018-10-05,north
6749,168300,2018-10-05,south
6750,171300,2018-10-05,east
6751,179400,2018-10-05,west
6776,158400,2018-10-06,north
6777,164700,2018-10-06,south
6778,159600,2018-10-06,east
6779,151500,2018-10-06,west
6804,153300,2018-10-07,north
6805,160800,2018-10-07,south
6806,179400,2018-10-07,east
6807,157800,2018-10-07,west
6832,170100,2018-10-08,north
6833,161700,2018-10-08,south
6834,177900,2018-10-08,east
6835,178500,2018-10-08,west
6860,168000,2018-10-09,north
6861,159000,2018-10-09,south
6862,155100,2018-10-09,east
6863,158700,2018-10-09,west
6888,174900,2018-10-10,north
6889,170100,2018-10-10,south
6890,159900,2018-10-10,east
6891,150600,2018-10-10,west
6916,159600,2018-10-11,north
6917,180000,2018-10-11,south
6918,174900,2018-10-11,east
6919,167400,2018-10-11,west
6944,178200,2018-10-12,north
6945,164700,2018-10-12,south
6946,154200,2018-10-12,east
6947,165600,2018-10-12,west
6972,158100,2018-10-13,north
6973,171300,2018-10-13,south
6974,172200,2018-10-13,east
6975,168600,2018-10-13,west
7000,172800,2018-10-14,north
7001,175500,2018-10-14,south
7002,150300,2018-10-14,east
7003,160200,2018-10-14,west
7028,160500,2018-10-15,north
7029,171900,2018-10-15,south
7030,154800,2018-10-15,east
7031,162600,2018-10-15,west
7056,155100,2018-10-16,north
7057,166200,2018-10-16,south
7058,165000,2018-10-16,east
7059,178800,2018-10-16,west
7084,153600,2018-10-17,north
7085,155100,2018-10-17,south
7086,165600,2018-10-17,east
7087,164400,2018-10-17,west
7112,169200,2018-10-18,north
7113,151800,2018-10-18,south
7114,150900,2018-10-18,east
7115,167400,2018-10-18,west
7140,152100,2018-10-19,north
7141,163200,2018-10-19,south
7142,179400,2018-10-19,east
7143,168900,2018-10-19,west
7168,169200,2018-10-20,north
7169,166200,2018-10-20,south
7170,177600,2018-10-20,east
7171,171000,2018-10-20,west
7196,156900,2018-10-21,north
7197,170400,2018-10-21,south
7198,176700,2018-10-21,east
7199,176700,2018-10-21,west
7224,154200,2018-10-22,north
7225,170700,2018-10-22,south
7226,157800,2018-10-22,east
7227,152100,2018-10-22,west
7252,176400,2018-10-23,north
7253,168300,2018-10-23,south
7254,160200,2018-10-23,east
7255,175500,2018-10-23,west
7280,165000,2018-10-24,north
7281,162900,2018-10-24,south
7282,169200,2018-10-24,east
7283,154200,2018-10-24,west
7308,162900,2018-10-25,north
7309,158700,2018-10-25,south
7310,163500,2018-10-25,east
7311,165300,2018-10-25,west
7336,159600,2018-10-26,north
7337,152400,2018-10-26,south
7338,154500,2018-10-26,east
7339,170700,2018-10-26,west
7364,150900,2018-10-27,north
7365,150900,2018-10-27,south
7366,168600,2018-10-27,east
7367,178500,2018-10-27,west
7392,163500,2018-10-28,north
7393,175200,2018-10-28,south
7394,178500,2018-10-28,east
7395,175500,2018-10-28,west
7420,170700,2018-10-29,north
7421,170100,2018-10-29,south
7422,159900,2018-10-29,east
7423,178200,2018-10-29,west
7448,167700,2018-10-30,north
7449,171900,2018-10-30,south
7450,153000,2018-10-30,east
7451,177600,2018-10-30,west
7476,167400,2018-10-31,north
7477,164100,2018-10-31,south
7478,159600,2018-10-31,east
7479,150600,2018-10-31,west
7504,169200,2018-11-01,north
7505,162300,2018-11-01,south
7506,159300,2018-11-01,east
7507,155100,2018-11-01,west
7532,172800,2018-11-02,north
7533,160800,2018-11-02,south
7534,153000,2018-11-02,east
7535,179100,2018-11-02,west
7560,170400,2018-11-03,north
7561,165300,2018-11-03,south
7562,154800,2018-11-03,east
7563,162600,2018-11-03,west
7588,169500,2018-11-04,north
7589,159000,2018-11-04,south
7590,153000,2018-11-04,east
7591,164400,2018-11-04,west
7616,161100,2018-11-05,north
7617,161700,2018-11-05,south
7618,177600,2018-11-05,east
7619,164100,2018-11-05,west
7644,174000,2018-11-06,north
7645,159000,2018-11-06,south
7646,177300,2018-11-06,east
7647,164100,2018-11-06,west
7672,152700,2018-11-07,north
7673,175500,2018-11-07,south
7674,165000,2018-11-07,east
7675,159300,2018-11-07,west
7700,154800,2018-11-08,north
7701,162300,2018-11-08,south
7702,150000,2018-11-08,east
7703,156900,2018-11-08,west
7728,164700,2018-11-09,north
7729,166200,2018-11-09,south
7730,171000,2018-11-09,east
7731,171900,2018-11-09,west
7756,159000,2018-11-10,north
7757,153900,2018-11-10,south
7758,156600,2018-11-10,east
7759,177000,2018-11-10,west
7784,172200,2018-11-11,north
7785,152400,2018-11-11,south
7786,164100,2018-11-11,east
7787,166200,2018-11-11,west
7812,171600,2018-11-12,north
7813,161100,2018-11-12,south
7814,156900,2018-11-12,east
7815,179700,2018-11-12,west
7840,169800,2018-11-13,north
7841,158100,2018-11-13,south
7842,177600,2018-11-13,east
7843,164400,2018-11-13,west
7868,156300,2018-11-14,north
7869,170700,2018-11-14,south
7870,153300,2018-11-14,east
7871,157200,2018-11-14,west
7896,162300,2018-11-15,north
7897,169800,2018-11-15,south
7898,152100,2018-11-15,east
7899,170700,2018-11-15,west
7924,158700,2018-11-16,north
7925,177600,2018-11-16,south
7926,166200,2018-11-16,east
7927,157800,2018-11-16,west
7952,155400,2018-11-17,north
7953,151500,2018-11-17,south
7954,160200,2018-11-17,east
7955,155700,2018-11-17,west
7980,152100,2018-11-18,north
7981,174000,2018-11-18,south
7982,161700,2018-11-18,east
7983,164700,2018-11-18,west
8008,155100,2018-11-19,north
8009,150000,2018-11-19,south
8010,172500,2018-11-19,east
8011,156300,2018-11-19,west
8036,179100,2018-11-20,north
8037,157800,2018-11-20,south
8038,163200,2018-11-20,east
8039,167400,2018-11-20,west
8064,161700,2018-11-21,north
8065,150900,2018-11-21,south
8066,164400,2018-11-21,east
8067,154200,2018-11-21,west
8092,165000,2018-11-22,north
8093,175800,2018-11-22,south
8094,171000,2018-11-22,east
8095,173700,2018-11-22,west
8120,177900,2018-11-23,north
8121,174300,2018-11-23,south
8122,156000,2018-11-23,east
8123,171900,2018-11-23,west
8148,168900,2018-11-24,north
8149,160500,2018-11-24,south
8150,168300,2018-11-24,east
8151,151800,2018-11-24,west
8176,166500,2018-11-25,north
8177,167100,2018-11-25,south
8178,170400,2018-11-25,east
8179,173100,2018-11-25,west
8204,165300,2018-11-26,north
8205,154200,2018-11-26,south
8206,165900,2018-11-26,east
8207,165000,2018-11-26,west
8232,177300,2018-11-27,north
8233,164700,2018-11-27,south
8234,172500,2018-11-27,east
8235,164400,2018-11-27,west
8260,176700,2018-11-28,north
8261,172800,2018-11-28,south
8262,171900,2018-11-28,east
8263,167700,2018-11-28,west
8288,168600,2018-11-29,north
8289,152700,2018-11-29,south
8290,168900,2018-11-29,east
8291,168600,2018-11-29,west
8316,164100,2018-11-30,north
8317,166500,2018-11-30,south
8318,175500,2018-11-30,east
8319,155100,2018-11-30,west
8344,166500,2018-12-01,north
8345,152700,2018-12-01,south
8346,153600,2018-12-01,east
8347,165600,2018-12-01,west
8372,156300,2018-12-02,north
8373,155400,2018-12-02,south
8374,160200,2018-12-02,east
8375,173700,2018-12-02,west
8400,150600,2018-12-03,north
8401,175500,2018-12-03,south
8402,157200,2018-12-03,east
8403,160800,2018-12-03,west
8428,172200,2018-12-04,north
8429,178800,2018-12-04,south
8430,178800,2018-12-04,east
8431,158700,2018-12-04,west
8456,167700,2018-12-05,north
8457,172500,2018-12-05,south
8458,173100,2018-12-05,east
8459,151800,2018-12-05,west
8484,173700,2018-12-06,north
8485,179700,2018-12-06,south
8486,166200,2018-12-06,east
8487,166200,2018-12-06,west
8512,171600,2018-12-07,north
8513,159600,2018-12-07,south
8514,165300,2018-12-07,east
8515,163500,2018-12-07,west
8540,178200,2018-12-08,north
8541,177300,2018-12-08,south
8542,175500,2018-12-08,east
8543,171900,2018-12-08,west
8568,173700,2018-12-09,north
8569,154800,2018-12-09,south
8570,166500,2018-12-09,east
8571,165900,2018-12-09,west
8596,165900,2018-12-10,north
8597,157500,2018-12-10,south
8598,150900,2018-12-10,east
8599,176700,2018-12-10,west
8624,150900,2018-12-11,north
8625,152700,2018-12-11,south
8626,157500,2018-12-11,east
8627,162000,2018-12-11,west
8652,162300,2018-12-12,north
8653,162300,2018-12-12,south
8654,177300,2018-12-12,east
8655,174300,2018-12-12,west
8680,171900,2018-12-13,north
8681,178200,2018-12-13,south
8682,171300,2018-12-13,east
8683,159300,2018-12-13,west
8708,171600,2018-12-14,north
8709,168600,2018-12-14,south
8710,156900,2018-12-14,east
8711,170400,2018-12-14,west
8736,155400,2018-12-15,north
8737,154500,2018-12-15,south
8738,158700,2018-12-15,east
8739,180000,2018-12-15,west
8764,163500,2018-12-16,north
8765,162000,2018-12-16,south
8766,180000,2018-12-16,east
8767,164100,2018-12-16,west
8792,163500,2018-12-17,north
8793,152700,2018-12-17,south
8794,162600,2018-12-17,east
8795,171600,2018-12-17,west
8820,175500,2018-12-18,north
8821,175500,2018-12-18,south
8822,160500,2018-12-18,east
8823,177900,2018-12-18,west
8848,156600,2018-12-19,north
8849,156600,2018-12-19,south
8850,179700,2018-12-19,east
8851,177000,2018-12-19,west
8876,173100,2018-12-20,north
8877,155100,2018-12-20,south
8878,176700,2018-12-20,east
8879,162600,2018-12-20,west
8904,165900,2018-12-21,north
8905,171000,2018-12-21,south
8906,154200,2018-12-21,east
8907,156900,2018-12-21,west
8932,177600,2018-12-22,north
8933,157800,2018-12-22,south
8934,166800,2018-12-22,east
8935,152700,2018-12-22,west
8960,177000,2018-12-23,north
8961,162300,2018-12-23,south
8962,171000,2018-12-23,east
8963,173100,2018-12-23,west
8988,174000,2018-12-24,north
8989,163200,2018-12-24,south
8990,171900,2018-12-24,east
8991,150000,2018-12-24,west
9016,151200,2018-12-25,north
9017,160500,2018-12-25,south
9018,162300,2018-12-25,east
9019,153300,2018-12-25,west
9044,168300,2018-12-26,north
9045,173400,2018-12-26,south
9046,154500,2018-12-26,east
9047,158700,2018-12-26,west
9072,157800,2018-12-27,north
9073,165000,2018-12-27,south
9074,163200,2018-12-27,east
9075,171300,2018-12-27,west
9100,165000,2018-12-28,north
9101,179400,2018-12-28,south
9102,176400,2018-12-28,east
9103,179700,2018-12-28,west
9128,162600,2018-12-29,north
9129,179400,2018-12-29,south
9130,169500,2018-12-29,east
9131,174000,2018-12-29,west
9156,175800,2018-12-30,north
9157,178500,2018-12-30,south
9158,159900,2018-12-30,east
9159,168900,2018-12-30,west
9184,152700,2018-12-31,north
9185,171000,2018-12-31,south
9186,159000,2018-12-31,east
9187,165300,2018-12-31,west
9212,151800,2019-01-01,north
9213,163200,2019-01-01,south
9214,175500,2019-01-01,east
9215,155100,2019-01-01,west
9240,176700,2019-01-02,north
9241,160500,2019-01-02,south
9242,169200,2019-01-02,east
9243,179400,2019-01-02,west
9268,169500,2019-01-03,north
9269,173700,2019-01-03,south
9270,157500,2019-01-03,east
9271,150900,2019-01-03,west
9296,159000,2019-01-04,north
9297,150000,2019-01-04,south
9298,159000,2019-01-04,east
9299,163800,2019-01-04,west
9324,176100,2019-01-05,north
9325,159000,2019-01-05,south
9326,172500,2019-01-05,east
9327,155100,2019-01-05,west
9352,164400,2019-01-06,north
9353,177900,2019-01-06,south
9354,179400,2019-01-06,east
9355,163800,2019-01-06,west
9380,164400,2019-01-07,north
9381,164700,2019-01-07,south
9382,169200,2019-01-07,east
9383,162300,2019-01-07,west
9408,172200,2019-01-08,north
9409,155100,2019-01-08,south
9410,173100,2019-01-08,east
9411,170100,2019-01-08,west
9436,150000,2019-01-09,north
9437,176400,2019-01-09,south
9438,176400,2019-01-09,east
9439,163500,2019-01-09,west
9464,176700,2019-01-10,north
9465,155100,2019-01-10,south
9466,151200,2019-01-10,east
9467,168600,2019-01-10,west
9492,166200,2019-01-11,north
9493,151200,2019-01-11,south
9494,160800,2019-01-11,east
9495,161100,2019-01-11,west
9520,156600,2019-01-12,north
9521,177300,2019-01-12,south
9522,170700,2019-01-12,east
9523,175200,2019-01-12,west
9548,155100,2019-01-13,north
9549,150300,2019-01-13,south
9550,153600,2019-01-13,east
9551,172800,2019-01-13,west
9576,169200,2019-01-14,north
9577,152100,2019-01-14,south
9578,169800,2019-01-14,east
9579,179100,2019-01-14,west
9604,160500,2019-01-15,north
9605,176100,2019-01-15,south
9606,161700,2019-01-15,east
9607,150300,2019-01-15,west
9632,154800,2019-01-16,north
9633,173400,2019-01-16,south
9634,150600,2019-01-16,east
9635,153300,2019-01-16,west
9660,159000,2019-01-17,north
9661,170700,2019-01-17,south
9662,150900,2019-01-17,east
9663,165300,2019-01-17,west
9688,157200,2019-01-18,north
9689,156300,2019-01-18,south
9690,163500,2019-01-18,east
9691,173400,2019-01-18,west
9716,158700,2019-01-19,north
9717,150600,2019-01-19,south
9718,168900,2019-01-19,east
9719,170100,2019-01-19,west
9744,170700,2019-01-20,north
9745,155700,2019-01-20,south
9746,172200,2019-01-20,east
9747,162900,2019-01-20,west
9772,161100,2019-01-21,north
9773,151500,2019-01-21,south
9774,161400,2019-01-21,east
9775,159300,2019-01-21,west
9800,171900,2019-01-22,north
9801,150600,2019-01-22,south
9802,179400,2019-01-22,east
9803,173100,2019-01-22,west
9828,166200,2019-01-23,north
9829,172800,2019-01-23,south
9830,156300,2019-01-23,east
9831,166200,2019-01-23,west
9856,164700,2019-01-24,north
9857,163800,2019-01-24,south
9858,155700,2019-01-24,east
9859,151800,2019-01-24,west
9884,156000,2019-01-25,north
9885,165600,2019-01-25,south
9886,170700,2019-01-25,east
9887,176700,2019-01-25,west
9912,167100,2019-01-26,north
9913,168600,2019-01-26,south
9914,165300,2019-01-26,east
9915,164700,2019-01-26,west
9940,152400,2019-01-27,north
9941,150300,2019-01-27,south
9942,153300,2019-01-27,east
9943,178500,2019-01-27,west
9968,173100,2019-01-28,north
9969,178200,2019-01-28,south
9970,156000,2019-01-28,east
9971,178200,2019-01-28,west
9996,150000,2019-01-29,north
9997,172800,2019-01-29,south
9998,160500,2019-01-29,east
9999,161400,2019-01-29,west
10024,178200,2019-01-30,north
10025,163800,2019-01-30,south
10026,179700,2019-01-30,east
10027,164100,2019-01-30,west
10052,165000,2019-01-31,north
10053,153600,2019-01-31,south
10054,159900,2019-01-31,east
10055,174000,2019-01-31,west
10080,174900,2019-02-01,north
10081,158100,2019-02-01,south
10082,166200,2019-02-01,east
10083,150900,2019-02-01,west
10108,159600,2019-02-02,north
10109,163800,2019-02-02,south
10110,174600,2019-02-02,east
10111,161100,2019-02-02,west
10136,160200,2019-02-03,north
10137,172200,2019-02-03,south
10138,173400,2019-02-03,east
10139,174900,2019-02-03,west
10164,154800,2019-02-04,north
10165,164700,2019-02-04,south
10166,156000,2019-02-04,east
10167,154200,2019-02-04,west
10192,161700,2019-02-05,north
10193,165900,2019-02-05,south
10194,167400,2019-02-05,east
10195,152400,2019-02-05,west
10220,155100,2019-02-06,north
10221,172200,2019-02-06,south
10222,156300,2019-02-06,east
10223,169200,2019-02-06,west
10248,173400,2019-02-07,north
10249,158400,2019-02-07,south
10250,166200,2019-02-07,east
10251,154500,2019-02-07,west
10276,166200,2019-02-08,north
10277,161400,2019-02-08,south
10278,171900,2019-02-08,east
10279,178800,2019-02-08,west
10304,177900,2019-02-09,north
10305,166500,2019-02-09,south
10306,160500,2019-02-09,east
10307,164100,2019-02-09,west
10332,172500,2019-02-10,north
10333,161100,2019-02-10,south
10334,156000,2019-02-10,east
10335,157500,2019-02-10,west
10360,156300,2019-02-11,north
10361,177300,2019-02-11,south
10362,153600,2019-02-11,east
10363,155100,2019-02-11,west
10388,157200,2019-02-12,north
10389,160800,2019-02-12,south
10390,175200,2019-02-12,east
10391,173400,2019-02-12,west
10416,168600,2019-02-13,north
10417,178200,2019-02-13,south
10418,150000,2019-02-13,east
10419,173100,2019-02-13,west
10444,172500,2019-02-14,north
10445,157800,2019-02-14,south
10446,156000,2019-02-14,east
10447,164400,2019-02-14,west
10472,156600,2019-02-15,north
10473,158400,2019-02-15,south
10474,169500,2019-02-15,east
10475,173400,2019-02-15,west
10500,179400,2019-02-16,north
10501,173100,2019-02-16,south
10502,167400,2019-02-16,east
10503,159900,2019-02-16,west
10528,151200,2019-02-17,north
10529,165300,2019-02-17,south
10530,172200,2019-02-17,east
10531,164100,2019-02-17,west
10556,169500,2019-02-18,north
10557,174900,2019-02-18,south
10558,172800,2019-02-18,east
10559,176400,2019-02-18,west
10584,171600,2019-02-19,north
10585,159900,2019-02-19,south
10586,159600,2019-02-19,east
10587,164400,2019-02-19,west
10612,174000,2019-02-20,north
10613,164100,2019-02-20,south
10614,156600,2019-02-20,east
10615,165600,2019-02-20,west
10640,159900,2019-02-21,north
10641,172500,2019-02-21,south
10642,173100,2019-02-21,east
10643,171900,2019-02-21,west
10668,177000,2019-02-22,north
10669,179400,2019-02-22,south
10670,172500,2019-02-22,east
10671,171300,2019-02-22,west
10696,159900,2019-02-23,north
10697,174300,2019-02-23,south
10698,151800,2019-02-23,east
10699,161400,2019-02-23,west
10724,169200,2019-02-24,north
10725,175500,2019-02-24,south
10726,165300,2019-02-24,east
10727,152400,2019-02-24,west
10752,163500,2019-02-25,north
10753,173400,2019-02-25,south
10754,171300,2019-02-25,east
10755,157800,2019-02-25,west
10780,156600,2019-02-26,north
10781,165300,2019-02-26,south
10782,150600,2019-02-26,east
10783,165600,2019-02-26,west
10808,159300,2019-02-27,north
10809,154500,2019-02-27,south
10810,173400,2019-02-27,east
10811,163500,2019-02-27,west
10836,171000,2019-02-28,north
10837,156900,2019-02-28,south
10838,173100,2019-02-28,east
10839,159900,2019-02-28,west
10864,159300,2019-03-01,north
10865,170700,2019-03-01,south
10866,163800,2019-03-01,east
10867,153900,2019-03-01,west
10892,178200,2019-03-02,north
10893,179400,2019-03-02,south
10894,160800,2019-03-02,east
10895,168900,2019-03-02,west
10920,169800,2019-03-03,north
10921,151800,2019-03-03,south
10922,159300,2019-03-03,east
10923,161100,2019-03-03,west
10948,158700,2019-03-04,north
10949,168600,2019-03-04,south
10950,151800,2019-03-04,east
10951,163200,2019-03-04,west
10976,156600,2019-03-05,north
10977,156900,2019-03-05,south
10978,174300,2019-03-05,east
10979,155700,2019-03-05,west
11004,174600,2019-03-06,north
11005,166200,2019-03-06,south
11006,167400,2019-03-06,east
11007,160800,2019-03-06,west
11032,155100,2019-03-07,north
11033,158100,2019-03-07,south
11034,156000,2019-03-07,east
11035,167400,2019-03-07,west
11060,152100,2019-03-08,north
11061,178200,2019-03-08,south
11062,161700,2019-03-08,east
11063,179700,2019-03-08,west
11088,153300,2019-03-09,north
11089,174900,2019-03-09,south
11090,165600,2019-03-09,east
11091,164400,2019-03-09,west
11116,154500,2019-03-10,north
11117,177600,2019-03-10,south
11118,165000,2019-03-10,east
11119,173700,2019-03-10,west
11144,165900,2019-03-11,north
11145,172200,2019-03-11,south
11146,168900,2019-03-11,east
11147,169200,2019-03-11,west
11172,151800,2019-03-12,north
11173,158100,2019-03-12,south
11174,162600,2019-03-12,east
11175,166800,2019-03-12,west
11200,152400,2019-03-13,north
11201,179700,2019-03-13,south
11202,154200,2019-03-13,east
11203,165300,2019-03-13,west
11228,167700,2019-03-14,north
11229,152400,2019-03-14,south
11230,169200,2019-03-14,east
11231,170400,2019-03-14,west
11256,164700,2019-03-15,north
11257,167100,2019-03-15,south
11258,156300,2019-03-15,east
11259,165000,2019-03-15,west
11284,156300,2019-03-16,north
11285,168000,2019-03-16,south
11286,172800,2019-03-16,east
11287,168000,2019-03-16,west
11312,168300,2019-03-17,north
11313,163800,2019-03-17,south
11314,154500,2019-03-17,east
11315,167100,2019-03-17,west
11340,170100,2019-03-18,north
11341,151500,2019-03-18,south
11342,176400,2019-03-18,east
11343,166800,2019-03-18,west
11368,167700,2019-03-19,north
11369,175200,2019-03-19,south
11370,163500,2019-03-19,east
11371,160500,2019-03-19,west
11396,163500,2019-03-20,north
11397,159600,2019-03-20,south
11398,160800,2019-03-20,east
11399,177900,2019-03-20,west
11424,177600,2019-03-21,north
11425,163500,2019-03-21,south
11426,179100,2019-03-21,east
11427,177900,2019-03-21,west
11452,174600,2019-03-22,north
11453,154500,2019-03-22,south
11454,176700,2019-03-22,east
11455,173100,2019-03-22,west
11480,173400,2019-03-23,north
11481,150900,2019-03-23,south
11482,168600,2019-03-23,east
11483,179700,2019-03-23,west
11508,156600,2019-03-24,north
11509,155700,2019-03-24,south
11510,179700,2019-03-24,east
11511,175500,2019-03-24,west
11536,165000,2019-03-25,north
11537,150000,2019-03-25,south
11538,155400,2019-03-25,east
11539,173400,2019-03-25,west
11564,170100,2019-03-26,north
11565,178200,2019-03-26,south
11566,179700,2019-03-26,east
11567,155700,2019-03-26,west
11592,166800,2019-03-27,north
11593,157500,2019-03-27,south
11594,160800,2019-03-27,east
11595,152700,2019-03-27,west
11620,151800,2019-03-28,north
11621,150900,2019-03-28,south
11622,176700,2019-03-28,east
11623,155700,2019-03-28,west
11648,160500,2019-03-29,north
11649,168600,2019-03-29,south
11650,165600,2019-03-29,east
11651,165300,2019-03-29,west
11676,172200,2019-03-30,north
11677,159300,2019-03-30,south
11678,155700,2019-03-30,east
11679,171000,2019-03-30,west
11704,178500,2019-03-31,north
11705,171000,2019-03-31,south
11706,165300,2019-03-31,east
11707,157200,2019-03-31,west
11732,151200,2019-04-01,north
11733,179400,2019-04-01,south
11734,156900,2019-04-01,east
11735,160800,2019-04-01,west
11760,162300,2019-04-02,north
11761,179100,2019-04-02,south
11762,178500,2019-04-02,east
11763,162900,2019-04-02,west
11788,153900,2019-04-03,north
11789,162600,2019-04-03,south
11790,169500,2019-04-03,east
11791,151800,2019-04-03,west
11816,153000,2019-04-04,north
11817,168300,2019-04-04,south
11818,166200,2019-04-04,east
11819,163200,2019-04-04,west
11844,161400,2019-04-05,north
11845,160500,2019-04-05,south
11846,166200,2019-04-05,east
11847,171300,2019-04-05,west
11872,174900,2019-04-06,north
11873,171300,2019-04-06,south
11874,171600,2019-04-06,east
11875,155700,2019-04-06,west
11900,160500,2019-04-07,north
11901,163500,2019-04-07,south
11902,151800,2019-04-07,east
11903,163200,2019-04-07,west
11928,171300,2019-04-08,north
11929,177900,2019-04-08,south
11930,174300,2019-04-08,east
11931,157500,2019-04-08,west
11956,172800,2019-04-09,north
11957,171900,2019-04-09,south
11958,175500,2019-04-09,east
11959,161700,2019-04-09,west
11984,154200,2019-04-10,north
11985,162600,2019-04-10,south
11986,150900,2019-04-10,east
11987,163800,2019-04-10,west
12012,158100,2019-04-11,north
12013,168000,2019-04-11,south
12014,156900,2019-04-11,east
12015,163500,2019-04-11,west
12040,153900,2019-04-12,north
12041,158700,2019-04-12,south
12042,159300,2019-04-12,east
12043,158100,2019-04-12,west
12068,151500,2019-04-13,north
12069,161100,2019-04-13,south
12070,164400,2019-04-13,east
12071,179400,2019-04-13,west
12096,150000,2019-04-14,north
12097,173700,2019-04-14,south
12098,172200,2019-04-14,east
12099,176400,2019-04-14,west
12124,153000,2019-04-15,north
12125,160200,2019-04-15,south
12126,152400,2019-04-15,east
12127,177000,2019-04-15,west
12152,159600,2019-04-16,north
12153,166800,2019-04-16,south
12154,158400,2019-04-16,east
12155,171300,2019-04-16,west
12180,156900,2019-04-17,north
12181,168600,2019-04-17,south
12182,164700,2019-04-17,east
12183,150900,2019-04-17,west
12208,159000,2019-04-18,north
12209,165000,2019-04-18,south
12210,155700,2019-04-18,east
12211,157500,2019-04-18,west
12236,177300,2019-04-19,north
12237,162900,2019-04-19,south
12238,152400,2019-04-19,east
12239,151200,2019-04-19,west
12264,152100,2019-04-20,north
12265,165300,2019-04-20,south
12266,158400,2019-04-20,east
12267,171300,2019-04-20,west
12292,168300,2019-04-21,north
12293,174900,2019-04-21,south
12294,154500,2019-04-21,east
12295,162900,2019-04-21,west
12320,153300,2019-04-22,north
12321,158700,2019-04-22,south
12322,167100,2019-04-22,east
12323,165000,2019-04-22,west
12348,166800,2019-04-23,north
12349,167400,2019-04-23,south
12350,172800,2019-04-23,east
12351,151800,2019-04-23,west
12376,155400,2019-04-24,north
12377,171900,2019-04-24,south
12378,174600,2019-04-24,east
12379,166500,2019-04-24,west
12404,150300,2019-04-25,north
12405,169200,2019-04-25,south
12406,172500,2019-04-25,east
12407,176400,2019-04-25,west
12432,171000,2019-04-26,north
12433,163500,2019-04-26,south
12434,176400,2019-04-26,east
12435,175800,2019-04-26,west
12460,174000,2019-04-27,north
12461,177600,2019-04-27,south
12462,174000,2019-04-27,east
12463,162000,2019-04-27,west
12488,156600,2019-04-28,north
12489,170400,2019-04-28,south
12490,157800,2019-04-28,east
12491,150300,2019-04-28,west
12516,160200,2019-04-29,north
12517,179100,2019-04-29,south
12518,175200,2019-04-29,east
12519,180000,2019-04-29,west
12544,171900,2019-04-30,north
12545,176700,2019-04-30,south
12546,150000,2019-04-30,east
12547,162300,2019-04-30,west
12572,166500,2019-05-01,north
12573,180000,2019-05-01,south
12574,173100,2019-05-01,east
12575,154200,2019-05-01,west
12600,157500,2019-05-02,north
12601,154800,2019-05-02,south
12602,179700,2019-05-02,east
12603,152100,2019-05-02,west
12628,156000,2019-05-03,north
12629,152100,2019-05-03,south
12630,160500,2019-05-03,east
12631,174000,2019-05-03,west
12656,161700,2019-05-04,north
12657,174300,2019-05-04,south
12658,162900,2019-05-04,east
12659,174900,2019-05-04,west
12684,151200,2019-05-05,north
12685,174600,2019-05-05,south
12686,153000,2019-05-05,east
12687,161100,2019-05-05,west
12712,156900,2019-05-06,north
12713,168900,2019-05-06,south
12714,155700,2019-05-06,east
12715,156000,2019-05-06,west
12740,165000,2019-05-07,north
12741,169500,2019-05-07,south
12742,162000,2019-05-07,east
12743,164400,2019-05-07,west
12768,180000,2019-05-08,north
12769,151500,2019-05-08,south
12770,178500,2019-05-08,east
12771,165000,2019-05-08,west
12796,179700,2019-05-09,north
12797,164100,2019-05-09,south
12798,166500,2019-05-09,east
12799,176700,2019-05-09,west
12824,150000,2019-05-10,north
12825,178800,2019-05-10,south
12826,172500,2019-05-10,east
12827,155700,2019-05-10,west
12852,150300,2019-05-11,north
12853,151800,2019-05-11,south
12854,165000,2019-05-11,east
12855,161400,2019-05-11,west
12880,174300,2019-05-12,north
12881,152400,2019-05-12,south
12882,176100,2019-05-12,east
12883,174300,2019-05-12,west
12908,156300,2019-05-13,north
12909,171600,2019-05-13,south
12910,156000,2019-05-13,east
12911,161400,2019-05-13,west
12936,161700,2019-05-14,north
12937,176100,2019-05-14,south
12938,163500,2019-05-14,east
12939,161400,2019-05-14,west
12964,150900,2019-05-15,north
12965,165000,2019-05-15,south
12966,175500,2019-05-15,east
12967,156900,2019-05-15,west
12992,160500,2019-05-16,north
12993,169500,2019-05-16,south
12994,166200,2019-05-16,east
12995,160500,2019-05-16,west
13020,173100,2019-05-17,north
13021,159000,2019-05-17,south
13022,162000,2019-05-17,east
13023,175200,2019-05-17,west
13048,153300,2019-05-18,north
13049,173700,2019-05-18,south
13050,160800,2019-05-18,east
13051,166200,2019-05-18,west
13076,179700,2019-05-19,north
13077,172800,2019-05-19,south
13078,168600,2019-05-19,east
13079,165000,2019-05-19,west
13104,169500,2019-05-20,north
